Algorithm,Vertices,Probability,VC_Size,Runtime
GreedyMIS,100,0.03,55,5.1021575927734375e-05
NeighborCover,100,0.03,47,0.00017309188842773438
ParallelNeighborCover,100,0.03,49,0.00010180473327636719
LP_Rounding,100,0.03,45,0.8698811531066895
GreedyMIS,100,0.03,53,6.198883056640625e-05
NeighborCover,100,0.03,54,0.0001480579376220703
ParallelNeighborCover,100,0.03,52,9.393692016601562e-05
LP_Rounding,100,0.03,84,0.022919893264770508
GreedyMIS,100,0.03,53,5.698204040527344e-05
NeighborCover,100,0.03,50,0.00016498565673828125
ParallelNeighborCover,100,0.03,52,9.179115295410156e-05
LP_Rounding,100,0.03,87,0.022755861282348633
GreedyMIS,100,0.02,45,6.389617919921875e-05
NeighborCover,100,0.02,47,0.00019478797912597656
ParallelNeighborCover,100,0.02,44,8.511543273925781e-05
LP_Rounding,100,0.02,41,0.021606922149658203
GreedyMIS,100,0.02,43,6.413459777832031e-05
NeighborCover,100,0.02,46,0.00018405914306640625
ParallelNeighborCover,100,0.02,42,8.082389831542969e-05
LP_Rounding,100,0.02,37,0.02120494842529297
GreedyMIS,100,0.02,48,5.507469177246094e-05
NeighborCover,100,0.02,44,0.0001811981201171875
ParallelNeighborCover,100,0.02,45,7.510185241699219e-05
LP_Rounding,100,0.02,79,0.021789073944091797
GreedyMIS,100,0.01,29,5.5789947509765625e-05
NeighborCover,100,0.01,32,0.0002219676971435547
ParallelNeighborCover,100,0.01,30,8.988380432128906e-05
LP_Rounding,100,0.01,27,0.020549297332763672
GreedyMIS,100,0.01,30,5.507469177246094e-05
NeighborCover,100,0.01,29,0.0002410411834716797
ParallelNeighborCover,100,0.01,29,6.890296936035156e-05
LP_Rounding,100,0.01,26,0.021353960037231445
GreedyMIS,100,0.01,29,5.1975250244140625e-05
NeighborCover,100,0.01,29,0.00023221969604492188
ParallelNeighborCover,100,0.01,30,6.771087646484375e-05
LP_Rounding,100,0.01,41,0.020633935928344727
GreedyMIS,100,0.005,16,5.91278076171875e-05
NeighborCover,100,0.005,16,0.0002880096435546875
ParallelNeighborCover,100,0.005,15,6.29425048828125e-05
LP_Rounding,100,0.005,15,0.03039097785949707
GreedyMIS,100,0.005,24,9.298324584960938e-05
NeighborCover,100,0.005,23,0.00035500526428222656
ParallelNeighborCover,100,0.005,24,8.225440979003906e-05
LP_Rounding,100,0.005,23,0.03321099281311035
GreedyMIS,100,0.005,24,8.821487426757812e-05
NeighborCover,100,0.005,25,0.00027370452880859375
ParallelNeighborCover,100,0.005,24,7.295608520507812e-05
LP_Rounding,100,0.005,23,0.02205204963684082
GreedyMIS,100,0.003,11,6.508827209472656e-05
NeighborCover,100,0.003,10,0.0003173351287841797
ParallelNeighborCover,100,0.003,11,6.508827209472656e-05
LP_Rounding,100,0.003,10,0.021090984344482422
GreedyMIS,100,0.003,12,5.984306335449219e-05
NeighborCover,100,0.003,12,0.0003058910369873047
ParallelNeighborCover,100,0.003,11,5.888938903808594e-05
LP_Rounding,100,0.003,10,0.020689964294433594
GreedyMIS,100,0.003,14,5.984306335449219e-05
NeighborCover,100,0.003,14,0.0003082752227783203
ParallelNeighborCover,100,0.003,14,6.127357482910156e-05
LP_Rounding,100,0.003,14,0.029314041137695312
GreedyMIS,100,0.002,4,9.512901306152344e-05
NeighborCover,100,0.002,4,0.0003509521484375
ParallelNeighborCover,100,0.002,4,6.318092346191406e-05
LP_Rounding,100,0.002,4,0.024795055389404297
GreedyMIS,100,0.002,12,6.413459777832031e-05
NeighborCover,100,0.002,12,0.0003173351287841797
ParallelNeighborCover,100,0.002,12,6.318092346191406e-05
LP_Rounding,100,0.002,11,0.02134108543395996
GreedyMIS,100,0.002,9,5.91278076171875e-05
NeighborCover,100,0.002,9,0.00031113624572753906
ParallelNeighborCover,100,0.002,9,5.4836273193359375e-05
LP_Rounding,100,0.002,9,0.020364761352539062
GreedyMIS,100,0.0005,6,6.461143493652344e-05
NeighborCover,100,0.0005,7,0.00033593177795410156
ParallelNeighborCover,100,0.0005,7,6.031990051269531e-05
LP_Rounding,100,0.0005,6,0.021891117095947266
GreedyMIS,100,0.0005,1,5.7220458984375e-05
NeighborCover,100,0.0005,1,0.00034618377685546875
ParallelNeighborCover,100,0.0005,1,5.3882598876953125e-05
LP_Rounding,100,0.0005,1,0.020409822463989258
GreedyMIS,100,0.0005,3,7.295608520507812e-05
NeighborCover,100,0.0005,3,0.00036025047302246094
ParallelNeighborCover,100,0.0005,3,5.602836608886719e-05
LP_Rounding,100,0.0005,3,0.03130912780761719
GreedyMIS,200,0.03,142,0.00011205673217773438
NeighborCover,200,0.03,138,0.00031185150146484375
ParallelNeighborCover,200,0.03,140,0.00021004676818847656
LP_Rounding,200,0.03,200,0.030742645263671875
GreedyMIS,200,0.03,140,0.0001251697540283203
NeighborCover,200,0.03,137,0.0003361701965332031
ParallelNeighborCover,200,0.03,139,0.00019097328186035156
LP_Rounding,200,0.03,199,0.030040979385375977
GreedyMIS,200,0.03,133,8.511543273925781e-05
NeighborCover,200,0.03,136,0.00032210350036621094
ParallelNeighborCover,200,0.03,134,0.00017690658569335938
LP_Rounding,200,0.03,200,0.028674840927124023
GreedyMIS,200,0.02,121,9.489059448242188e-05
NeighborCover,200,0.02,122,0.0004241466522216797
ParallelNeighborCover,200,0.02,118,0.00019598007202148438
LP_Rounding,200,0.02,195,0.026999711990356445
GreedyMIS,200,0.02,120,0.00010418891906738281
NeighborCover,200,0.02,119,0.0004119873046875
ParallelNeighborCover,200,0.02,119,0.0001900196075439453
LP_Rounding,200,0.02,197,0.027656078338623047
GreedyMIS,200,0.02,115,8.296966552734375e-05
NeighborCover,200,0.02,113,0.0004570484161376953
ParallelNeighborCover,200,0.02,115,0.00019598007202148438
LP_Rounding,200,0.02,188,0.026643991470336914
GreedyMIS,200,0.01,90,8.797645568847656e-05
NeighborCover,200,0.01,88,0.0005960464477539062
ParallelNeighborCover,200,0.01,95,0.0001468658447265625
LP_Rounding,200,0.01,113,0.025574207305908203
GreedyMIS,200,0.01,94,0.00010609626770019531
NeighborCover,200,0.01,94,0.0006349086761474609
ParallelNeighborCover,200,0.01,96,0.00016689300537109375
LP_Rounding,200,0.01,80,0.025315046310424805
GreedyMIS,200,0.01,90,9.107589721679688e-05
NeighborCover,200,0.01,98,0.0005509853363037109
ParallelNeighborCover,200,0.01,97,0.00015091896057128906
LP_Rounding,200,0.01,100,0.024713993072509766
GreedyMIS,200,0.005,61,0.00010228157043457031
NeighborCover,200,0.005,59,0.0008611679077148438
ParallelNeighborCover,200,0.005,55,0.00013208389282226562
LP_Rounding,200,0.005,53,0.02254796028137207
GreedyMIS,200,0.005,60,8.511543273925781e-05
NeighborCover,200,0.005,61,0.000759124755859375
ParallelNeighborCover,200,0.005,58,0.00012493133544921875
LP_Rounding,200,0.005,50,0.022478818893432617
GreedyMIS,200,0.005,64,9.012222290039062e-05
NeighborCover,200,0.005,66,0.0007753372192382812
ParallelNeighborCover,200,0.005,69,0.00013709068298339844
LP_Rounding,200,0.005,59,0.022813081741333008
GreedyMIS,200,0.003,45,8.797645568847656e-05
NeighborCover,200,0.003,43,0.0009031295776367188
ParallelNeighborCover,200,0.003,47,0.00012683868408203125
LP_Rounding,200,0.003,41,0.022626876831054688
GreedyMIS,200,0.003,40,8.296966552734375e-05
NeighborCover,200,0.003,42,0.0009109973907470703
ParallelNeighborCover,200,0.003,41,0.00011801719665527344
LP_Rounding,200,0.003,35,0.022124767303466797
GreedyMIS,200,0.003,51,8.606910705566406e-05
NeighborCover,200,0.003,53,0.0008208751678466797
ParallelNeighborCover,200,0.003,51,0.00011801719665527344
LP_Rounding,200,0.003,47,0.02264690399169922
GreedyMIS,200,0.002,37,0.00010418891906738281
NeighborCover,200,0.002,39,0.0008761882781982422
ParallelNeighborCover,200,0.002,36,0.00011086463928222656
LP_Rounding,200,0.002,33,0.02243518829345703
GreedyMIS,200,0.002,33,0.0001068115234375
NeighborCover,200,0.002,31,0.0010058879852294922
ParallelNeighborCover,200,0.002,34,0.00012683868408203125
LP_Rounding,200,0.002,29,0.02221202850341797
GreedyMIS,200,0.002,34,0.0001251697540283203
NeighborCover,200,0.002,35,0.0009799003601074219
ParallelNeighborCover,200,0.002,36,0.00011897087097167969
LP_Rounding,200,0.002,31,0.021286725997924805
GreedyMIS,200,0.0005,4,9.226799011230469e-05
NeighborCover,200,0.0005,4,0.0011630058288574219
ParallelNeighborCover,200,0.0005,4,9.799003601074219e-05
LP_Rounding,200,0.0005,4,0.022369861602783203
GreedyMIS,200,0.0005,10,0.000102996826171875
NeighborCover,200,0.0005,9,0.0012679100036621094
ParallelNeighborCover,200,0.0005,10,0.00016689300537109375
LP_Rounding,200,0.0005,9,0.022175073623657227
GreedyMIS,200,0.0005,7,0.00010609626770019531
NeighborCover,200,0.0005,7,0.0012230873107910156
ParallelNeighborCover,200,0.0005,8,0.00011181831359863281
LP_Rounding,200,0.0005,7,0.022105932235717773
GreedyMIS,500,0.03,403,0.0002071857452392578
NeighborCover,500,0.03,406,0.001027822494506836
ParallelNeighborCover,500,0.03,416,0.0005679130554199219
LP_Rounding,500,0.03,500,0.06872320175170898
GreedyMIS,500,0.03,404,0.00021719932556152344
NeighborCover,500,0.03,410,0.0009646415710449219
ParallelNeighborCover,500,0.03,401,0.0005900859832763672
LP_Rounding,500,0.03,500,0.0672299861907959
GreedyMIS,500,0.03,403,0.00022792816162109375
NeighborCover,500,0.03,407,0.0010180473327636719
ParallelNeighborCover,500,0.03,402,0.0005962848663330078
LP_Rounding,500,0.03,500,0.06758809089660645
GreedyMIS,500,0.02,376,0.0002129077911376953
NeighborCover,500,0.02,376,0.0013000965118408203
ParallelNeighborCover,500,0.02,383,0.0005669593811035156
LP_Rounding,500,0.02,500,0.0552370548248291
GreedyMIS,500,0.02,380,0.00021791458129882812
NeighborCover,500,0.02,387,0.0011997222900390625
ParallelNeighborCover,500,0.02,390,0.0005581378936767578
LP_Rounding,500,0.02,500,0.05700802803039551
GreedyMIS,500,0.02,385,0.0002529621124267578
NeighborCover,500,0.02,370,0.0014390945434570312
ParallelNeighborCover,500,0.02,383,0.0005252361297607422
LP_Rounding,500,0.02,500,0.05455470085144043
GreedyMIS,500,0.01,328,0.00019931793212890625
NeighborCover,500,0.01,326,0.0019521713256835938
ParallelNeighborCover,500,0.01,313,0.0004999637603759766
LP_Rounding,500,0.01,498,0.0396730899810791
